City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
287,tooele,40.53,-112.3,39.0,100,90,7.34,US,1580007493
288,launceston,-41.45,147.17,75.99,40,40,24.16,AU,1580007305
289,grindavik,63.84,-22.43,35.6,72,90,13.87,IS,1580007546
290,cap-aux-meules,47.38,-61.86,24.8,85,75,4.7,CA,1580007422
291,miranda de ebro,42.69,-2.95,46.99,100,75,2.24,ES,1580007547
292,burnie,-41.07,145.92,72.0,53,100,15.01,AU,1580007547
293,tokur,53.13,132.9,-11.31,93,100,3.04,RU,1580007547
294,chihuahua,28.5,-106.0,59.0,28,40,1.45,MX,1580007420
295,camana,-16.62,-72.71,67.42,84,100,2.62,PE,1580007548
296,east islip,40.73,-73.19,46.99,93,90,10.29,US,1580007548
297,mersing,2.43,103.84,81.21,72,83,7.07,MY,1580007548
298,eregli,37.51,34.05,31.87,46,0,2.95,TR,1580007548
299,koslan,63.46,48.9,-6.93,97,95,3.27,RU,1580007548
300,palwal,28.15,77.33,61.0,93,0,3.56,IN,1580007549
301,pisco,-13.7,-76.22,73.4,83,90,17.22,PE,1580007251
302,richards bay,-28.78,32.04,77.38,81,1,26.22,ZA,1580007343
303,nechi,8.09,-74.78,75.16,94,34,4.43,CO,1580007549
304,petropavlovsk-kamchatskiy,53.05,158.65,28.4,68,40,4.47,RU,1580007549
305,scarborough,54.28,-0.4,44.6,100,89,9.17,GB,1580007309
306,porbandar,21.64,69.61,57.2,71,20,2.24,IN,1580007550
307,marzuq,14.4,46.47,60.89,61,7,9.31,YE,1580007551
308,luena,-11.78,19.92,63.81,98,100,3.6,AO,1580007521
309,beloha,-25.17,45.05,67.44,85,0,10.22,MG,1580007552
310,teocaltiche,21.43,-102.58,60.8,51,75,5.82,MX,1580007552
311,souillac,-20.52,57.52,77.0,78,75,11.41,MU,1580007553
312,kampot,10.62,104.18,86.0,58,20,2.86,KH,1580007361
313,fare,-16.7,-151.02,83.05,74,26,10.67,PF,1580007553
314,port antonio,18.18,-76.46,77.0,78,75,10.29,JM,1580007376
315,tolbazy,54.02,55.88,19.4,92,90,2.24,RU,1580007554
316,leshan,29.56,103.76,50.74,56,82,0.85,CN,1580007554
317,mount darwin,-16.77,31.58,62.74,98,60,0.09,ZW,1580007554
318,salinopolis,-0.61,-47.36,82.81,81,100,12.39,BR,1580007554
319,meulaboh,4.14,96.13,81.23,79,100,3.94,ID,1580007554
320,ginir,7.13,40.7,60.08,81,100,0.81,ET,1580007555
321,cherskiy,68.75,161.3,-17.93,96,100,2.71,RU,1580007309
322,korla,41.76,86.15,15.31,46,0,1.63,CN,1580007342
323,alice springs,-23.7,133.88,95.0,10,0,14.99,AU,1580007555
324,kushmurun,52.45,64.63,20.43,93,100,24.49,KZ,1580007555
325,avera,33.19,-82.53,45.0,75,1,8.05,US,1580007265
326,nicoya,10.15,-85.45,78.8,61,0,3.36,CR,1580007556
327,lichinga,-13.31,35.24,64.4,100,75,11.41,MZ,1580007556
328,olinda,-8.01,-34.86,82.4,78,40,8.05,BR,1580007556
329,port-gentil,-0.72,8.78,83.1,79,2,11.14,GA,1580007556
330,hearst,49.68,-83.67,24.75,96,100,6.76,CA,1580007335
331,hranice,49.55,17.73,30.0,92,90,17.22,CZ,1580007557
332,georgetown,5.41,100.34,86.0,66,20,6.93,MY,1580007365
333,melfort,52.87,-104.62,23.0,92,90,11.41,CA,1580007557
334,bubaque,11.28,-15.83,77.86,70,92,7.76,GW,1580007558
335,douentza,15.0,-2.95,71.22,10,94,7.27,ML,1580007558
336,port hardy,50.7,-127.42,46.4,81,90,23.04,CA,1580007558
337,geraldton,-28.77,114.6,82.4,58,15,12.75,AU,1580007381
338,luanda,-8.84,13.23,80.6,78,40,2.24,AO,1580007371
339,mount isa,-20.73,139.5,80.6,88,75,5.82,AU,1580007346
340,mabaruma,8.2,-59.78,70.07,98,100,2.35,GY,1580007559
341,lisburn,54.52,-6.04,46.99,81,100,18.34,GB,1580007559
342,chengde,40.97,117.94,24.62,54,0,2.17,CN,1580007559
343,horta,38.53,-28.63,54.21,74,99,5.59,PT,1580007559
344,norman wells,65.28,-126.83,-13.0,62,20,13.87,CA,1580007359
345,hamilton,39.18,-84.53,34.0,86,90,11.41,US,1580007424
346,touros,-5.2,-35.46,80.6,88,75,4.7,BR,1580007560
347,qostanay,53.17,63.58,21.2,100,90,22.37,KZ,1580007361
348,rosetta,31.4,30.42,50.0,87,40,3.36,EG,1580007561
349,hay river,60.82,-115.8,14.0,85,90,6.93,CA,1580007561
350,alofi,-19.06,-169.92,82.4,83,22,9.17,NU,1580007561
351,erenhot,43.65,111.98,18.23,75,0,7.18,CN,1580007561
352,vostok,46.49,135.88,5.63,77,51,6.69,RU,1580007344
353,umm kaddadah,13.6,26.69,51.08,32,24,13.15,SD,1580007304
354,khor,47.89,134.95,0.55,87,95,13.89,RU,1580007562
355,rorvik,64.86,11.24,41.0,95,100,27.22,NO,1580007562
356,dunedin,-45.87,170.5,68.0,66,0,24.14,NZ,1580007341
357,bakchar,57.02,82.07,6.55,92,100,10.25,RU,1580007562
358,clarence town,-32.58,151.78,102.0,37,40,11.41,AU,1580007562
359,katsuura,35.13,140.3,42.01,86,75,3.36,JP,1580007563
360,san patricio,19.22,-104.7,77.0,78,5,5.82,MX,1580007357
361,houston,29.76,-95.36,64.0,77,90,8.05,US,1580007563
362,klyavlino,54.26,52.03,11.77,100,96,0.96,RU,1580007563
363,dukat,62.55,155.55,-20.34,98,100,7.0,RU,1580007564
364,andenes,69.31,16.12,24.8,58,44,23.04,NO,1580007564
365,rajgarh,28.63,75.38,59.05,50,0,1.23,IN,1580007564
366,nemuro,43.32,145.57,19.4,48,20,12.75,JP,1580007564
367,liepaja,56.54,21.04,41.0,100,18,14.99,LV,1580007565
368,mafinga,-7.25,35.07,66.83,98,100,0.85,TZ,1580007565
369,gornozavodsk,58.38,58.32,10.83,96,100,1.97,RU,1580007565
370,hualmay,-11.1,-77.61,74.28,71,100,5.99,PE,1580007320
371,hit,33.64,42.83,44.6,67,0,10.63,IQ,1580007422
372,kalmunai,7.42,81.82,80.01,70,88,14.27,LK,1580007566
373,cherdyn,60.4,56.48,6.93,96,100,2.77,RU,1580007566
374,dzaoudzi,-12.79,45.27,77.0,94,100,4.7,YT,1580007566
375,mogadishu,2.04,45.34,81.23,82,100,23.13,SO,1580007566
376,severobaykalsk,55.65,109.32,18.82,90,100,2.62,RU,1580007566
377,am timan,11.03,20.28,56.32,21,36,6.35,TD,1580007567
378,concordia,-31.39,-58.02,77.0,84,0,5.01,AR,1580007567
379,redcar,54.62,-1.06,45.0,100,75,9.17,GB,1580007567
380,altamont,42.21,-121.74,42.01,91,100,8.16,US,1580007567
381,praia da vitoria,38.73,-27.07,53.6,87,20,3.94,PT,1580007567
382,kismayo,-0.36,42.55,80.13,88,67,9.98,SO,1580007568
383,cantagallo,7.38,-73.92,75.16,89,55,2.98,CO,1580007568
